Sample	Depth	MetaPhlAn Quantity	Kraken Quantity
AMCTRL15	Kingdom	83.8612139328616	1.0000000000000007
AMCTRL15	Kingdom	0.02079434985328502	0
BLANK	Kingdom	31.466382164030154	0.9999999999999998
HV01	Kingdom	85.51058415174276	0.9999999999999996
HV02	Kingdom	84.45351002106166	0.9999999999999999
HV02	Kingdom	0.064030488690188	0
HV03	Kingdom	83.32487673794279	0.9999999999999997
HV04	Kingdom	83.82489350139919	0.9999999999999993
HV04	Kingdom	0.17684045031514903	0
HV05	Kingdom	85.41887683724062	1.0000000000000004
HV06	Kingdom	84.63115170563498	0.9999999999999998
HV06	Kingdom	0.0005331796147770735	0
HV07	Kingdom	84.00514280963783	0.9999999999999996
HV08	Kingdom	86.10897178170957	0.9999999999999986
HV09	Kingdom	78.17880287260787	0.9999999999999998
HV10	Kingdom	85.58026406683136	0.9999999999999994
HV11	Kingdom	81.49711509823932	0.9999999999999999
HV12	Kingdom	86.33817307488782	0.9999999999999999
HV12	Kingdom	0.27797381188057213	0
HV12	Kingdom	0.16118020734460545	0
HV13	Kingdom	88.21378700369473	1.0000000000000002
HV13	Kingdom	0.15762809310816733	0
HV14	Kingdom	84.91837908558371	1.0000000000000004
MAV02T0	Kingdom	81.6120449817511	1.0000000000000004
MAV02T0	Kingdom	1.426597249539118	0
MAV02T0	Kingdom	0.014609065442188688	0
MAV05T0	Kingdom	84.7196680244846	1.0000000000000004
MAV05T0	Kingdom	1.5898559555213005	0
MAV09T0	Kingdom	92.42756070816111	0
MAV10T0	Kingdom	66.1979441283828	1.0000000000000004
MAV11T0	Kingdom	85.94481841980078	1.0000000000000009
MAV11T0	Kingdom	2.8575721253524873	0
MAV13T0	Kingdom	82.60933667635008	1
MAV13T0	Kingdom	2.353338662883769	0
MAV14T0	Kingdom	86.98059020835798	1
MAV14T0	Kingdom	0.5097713406011654	0
MAV17T0	Kingdom	83.35386871158022	1
MAV17T0	Kingdom	1.5600209989845542	0
MAV18T0	Kingdom	84.46987881530106	1.0000000000000004
MAV19T0	Kingdom	85.50870934402528	0.9999999999999996
MAV21T0	Kingdom	88.21778520127998	1.0000000000000002
MAV26T0	Kingdom	81.4018376315993	0
MAV26T0	Kingdom	0.34613744206224006	0
MAV26T0	Kingdom	0.0135642380153834	0
MAV27T0	Kingdom	85.66945399629361	0.9999999999999996
MAV28T0	Kingdom	83.20612399142	1.0000000000000002
MAV28T0	Kingdom	4.4944260288482765	0
MAV28T0	Kingdom	0.027063968915663244	0
MAV29T0	Kingdom	84.27786292741084	1.0000000000000004
MAV30T0	Kingdom	82.64854972804935	0.9999999999999993
MAV30T0	Kingdom	0.2174652831940059	0
MAV32T0	Kingdom	82.0608778669694	0.9999999999999996
MAV33T0	Kingdom	84.60749994005585	0
MBCTRL17	Kingdom	84.32410079068298	0.9999999999999992
MS10	Kingdom	73.6789556265771	1.0000000000000004
MS10	Kingdom	0.018888757515642975	0
MS11	Kingdom	80.46703233525064	1.0000000000000009
