Depth	MetaPhlAn Average	Kraken Average
Kingdom	54.13052220732056	1.0
Phylum	9.581242286286093	0.1123919308357347
Class	0.7752015527986829	0.05913570887035622
Order	0.7144332600278259	0.032459425717852756
Family	0.8660033086282233	0.016695205479452066
Genus	0.4733035803376856	0.007198228128460701
Species	0.3165663047342	0.0031708606040896196
Strain	0.30092040138328463	0
