Name	Depth	Clade	Quantity	Status
Turicibacter	Genus	191303	0.03285330043343672	HEALTY
Gemmiger	Genus	204475	1.2016244055284828	HEALTY
Anaerobutyricum	Genus	2569097	0.5565366025524423	HEALTY
Haemophilus	Genus	724	0.016478200165896028	HEALTY
Collinsella	Genus	102106	0.918965909722996	HEALTY
Megasphaera	Genus	906	0.19943319571333193	HEALTY
Mediterraneibacter	Genus	2316020	1.0602064895488597	HEALTY
Wujia	Genus	2944152	0.16470159340677787	HEALTY
Eubacterium	Genus	1730	0.34419729919314573	HEALTY
Anaerostipes	Genus	207244	0.8429318026662567	HEALTY
Coprobacter	Genus	1348911	0.042199300786762366	HEALTY
Slackia	Genus	84108	0.04354620029762908	HEALTY
Candidatus_Borkfalkia	Genus	2508948	0.008267100219978101	HEALTY
Intestinibacter	Genus	1505657	0.04426350020522962	HEALTY
Oliverpabstia	Genus	2815777	0.09793279974526928	HEALTY
Acidaminococcus	Genus	904	0.18954940049040933	HEALTY
Faecalibacillus	Genus	2678885	0.14171820042695538	HEALTY
Vescimonas	Genus	2892396	0.25782680286664317	HEALTY
Dysosmobacter	Genus	2591381	0.15015399996169654	HEALTY
Hydrogenoanaerobacterium	Genus	596767	0.033860700127891975	HEALTY
Victivallis	Genus	172900	0.037876001150548635	HEALTY
Methanobrevibacter	Genus	2172	0.25887530406692405	HEALTY
Streptococcus	Genus	1301	0.3504492038263693	HEALTY
Anaerotignum	Genus	2039240	0.0845222006690639	HEALTY
Allisonella	Genus	209879	0.011153800046515472	HEALTY
Adlercreutzia	Genus	447020	0.16657430193309122	HEALTY
Veillonella	Genus	29465	0.05709739989527718	HEALTY
Parasutterella	Genus	577310	0.17503720247554896	HEALTY
Senegalimassilia	Genus	1473205	0.047552700613893537	HEALTY
Enterococcus	Genus	1350	0.07444839946330523	HEALTY
Lawsonibacter	Genus	2172004	0.07224440044688	HEALTY
Faecalitalea	Genus	1573534	0.011748300013335272	HEALTY
Erysipelatoclostridium	Genus	1505663	0.11275820246083104	HEALTY
Bilophila	Genus	35832	0.09342080018088453	HEALTY
Sanguibacteroides	Genus	1635148	0.005557900117787644	HEALTY
Simiaoa	Genus	2944193	0.2943493991479106	HEALTY
Gordonibacter	Genus	644652	0.04150270087876277	HEALTY
