MAV28T0	1853231	0.2516729790121709	0.012093644883351382	0.23957933412881952
MS13	2133944	0	4.9798452396763375e-5	4.9798452396763375e-5
MAV18T0	290053	0	5.700337654318828e-5	5.700337654318828e-5
TEC10T0	1236	0.15878382405319355	0	0.15878382405319355
MAV26T0	1678	0.693043442517154	0	0.693043442517154
MS19	2944198	0.003317604525100983	8.424268442161774e-4	0.002475177680884806
MS5	200940	0	1.0813440489270462e-4	1.0813440489270462e-4
MBCTRL17	2782229	0	2.9934430527182847e-6	2.9934430527182847e-6
HV14	301301	0.02325065219363282	0.002873714972168964	0.02037693722146386
HV10	91347	0.006777956914093043	2.769484902418131e-4	0.00650100842385123
HV06	186803	13.007805335178002	0.15415973615758408	12.853645599020417
MAV27T0	1308	0.02919614992193686	3.927250219704023e-4	0.02880342489996646
MAV14T0	33958	0	1.3045447688525474e-4	1.3045447688525474e-4
MAV19T0	1852386	0.04437902014954912	0	0.04437902014954912
MS20	39486	0.19349352995247038	0.0030731045933681473	0.19042042535910222
HV08	2944152	0	6.02437570444317e-4	6.02437570444317e-4
RRCTRL16	502558	0	3.554966754353362e-5	3.554966754353362e-5
MS9	209880	0.08546827692437446	0	0.08546827692437446
MAV32T0	214851	0	0.003224514392821232	0.003224514392821232
MAV30T0	84998	3.7701136519590324	0.0693106662282972	3.700802985730735
MS24	1796613	0	2.4308377313239182e-4	2.4308377313239182e-4
MS13	1673721	0.01494488425145341	0	0.01494488425145341
MAV27T0	2055	0	2.2198920610130803e-6	2.2198920610130803e-6
HV02	47770	0	2.4339152330817757e-6	2.4339152330817757e-6
MS19	75682	0.09604790355512943	0.00202382244086917	0.09402408111426026
TEC15T0	39491	2.2903355104437186	0.0413334775263373	2.249002032917381
MAV02T0	2913614	0	3.8147359350342064e-5	3.8147359350342064e-5
MAV13T0	1268	0	5.534181328606279e-5	5.534181328606279e-5
AMCTRL15	40545	0	3.621652901312724e-4	3.621652901312724e-4
MS19	1348911	0.0067165228866015	7.906033366291327e-4	0.005925919549972367
TEC04T0	577310	0.8073257087667923	0	0.8073257087667923
MS15	2883296	0.005018649755372117	0	0.005018649755372117
MAV13T0	397864	0.23460743541422646	8.157142225095444e-4	0.23379172119171693
MS6	2779519	0	4.6442506877644415e-4	4.6442506877644415e-4
TEC12T0	2675878	0	5.113250980505088e-6	5.113250980505088e-6
HV13	147206	0	1.0415651684367959e-4	1.0415651684367959e-4
MS23	387090	0	2.23626716252371e-4	2.23626716252371e-4
MAV28T0	84112	0	7.933353689826744e-4	7.933353689826744e-4
TEC02T0	437897	0	2.6694175804848112e-5	2.6694175804848112e-5
MS22	712471	0	2.7370092847491994e-5	2.7370092847491994e-5
HV13	543	0	5.147410229165604e-5	5.147410229165604e-5
MS16	410072	0	8.239563491714879e-4	8.239563491714879e-4
MS22	209879	0.03943778800607561	0	0.03943778800607561
TEC12T0	2584944	0	1.6249472441114326e-5	1.6249472441114326e-5
MAV28T0	2944152	0	5.519121661562579e-4	5.519121661562579e-4
MAV09T0	1905344	0.5361353086437594	0	0.5361353086437594
HV06	39482	0.02657434905396842	0	0.02657434905396842
MAV26T0	1300	0.2699683996563861	0	0.2699683996563861
HV04	1663	0	7.477897233155701e-6	7.477897233155701e-6
MS19	85025	0	4.231906242047832e-6	4.231906242047832e-6
AMCTRL15	39486	0.036572555611263685	0.0012276744853104442	0.03534488112595324
TEC03T0	43675	0.0013297667684007122	0	0.0013297667684007122
TEC28T0	171549	36.91998843194902	0.49531950292475735	36.424668929024264
MS22	244127	0	7.915751402131638e-4	7.915751402131638e-4
HV03	182773	0	1.8903589424310746e-5	1.8903589424310746e-5
TEC26T0	1501392	0	6.568266824251876e-5	6.568266824251876e-5
TEC31T0	562	0.015169785190170017	0	0.015169785190170017
TEC08T0	34073	0	5.511079540012006e-5	5.511079540012006e-5
TEC05T0	1322	0	0.0013707340486448024	0.0013707340486448024
HV11	89014	0.032517348924197484	0.0044604730009226235	0.02805687592327486
MS1	2005359	0.009035610521774835	0	0.009035610521774835
AMCTRL15	2691580	0	5.193230766367215e-5	5.193230766367215e-5
MS18	3028070	0	0.0014233508113035973	0.0014233508113035973
TEC26T0	329854	0	6.162238402951492e-4	6.162238402951492e-4
MAV32T0	1505652	0	8.47167962795489e-5	8.47167962795489e-5
NBCTRL18	204458	0	9.225794706947646e-6	9.225794706947646e-6
MAV10T0	2877527	0	0.005228292259636064	0.005228292259636064
MS9	2929495	0	0.0052931594014053234	0.0052931594014053234
MS8	-1	0.0001057909390623068	0	0.0001057909390623068
MS14	1161942	0	5.661202748256607e-5	5.661202748256607e-5
MAV32T0	341225	0.0015427445038990247	0	0.0015427445038990247
TEC17T0	447020	0	1.2560516621939097e-4	1.2560516621939097e-4
MS15	816	0.7358240110671298	0	0.7358240110671298
MS5	2678885	0.8952982255041346	0.007677131242247129	0.8876210942618875
TEC16T0	80864	0	8.946732930698014e-6	8.946732930698014e-6
MS21	2764322	0.007739231599012161	0	0.007739231599012161
MS24	28050	0.8921954846187545	0.010156424537036052	0.8820390600817185
HV08	1987016	0.0030310358067161766	0	0.0030310358067161766
MAV14T0	47678	0.35769559415676455	0.008619295301254788	0.3490762988555098
MAV27T0	329	0	1.8934373461582157e-6	1.8934373461582157e-6
TEC07T0	906	0	8.1744635753282e-5	8.1744635753282e-5
MS14	33025	0	1.8012917835361932e-5	1.8012917835361932e-5
MS3	592978	0.17682669550667152	0	0.17682669550667152
TEC16T0	90964	0	8.186799591403784e-5	8.186799591403784e-5
