otu_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	AMCTRL15	BLANK_Batch3	HV01	HV02	HV03	HV04	HV05	HV06	HV07	HV08	HV09	HV10	HV11	HV12	HV13	HV14	MAV02T0	MAV05T0	MAV10T0	MAV11T0	MAV13T0	MAV14T0	MAV17T0	MAV18T0	MAV19T0	MAV21T0	MAV27T0	MAV28T0	MAV29T0	MAV30T0	MAV32T0	MBCTRL17	MS10	MS11	MS12	MS13	MS14	MS16	MS17	MS18	MS19	MS1	MS20	MS21	MS22	MS23	MS24	MS25	MS26	MS2	MS3	MS4	MS5	MS6	MS7	MS8	MS9	NBCTRL18	REF1	RRCTRL16	TEC02T0	TEC04T0	TEC05T0	TEC06T0	TEC07T0	TEC08T0	TEC09T0	TEC11T0	TEC12T0	TEC15T0	TEC16T0	TEC17T0	TEC22T0	TEC24T0	TEC26T0	TEC27T0	TEC28T0	TEC30T0
1302	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	gordonii	0.00001839360685636402	0.00180301832662405721	0.00002078939764623132	0.00001851892025170916	0.00005127561301981288	0.00002689810795806752	0.000044028695740536	0.00004170265626964685	0.00005297808144860043	0.00005135620631437861	0.00001745843478238717	0.00001035742321229545	0.00001525647070962092	0.00002966777678821349	0.0000196229911083684	0.00002589558418677582	0.00002767403624213191	0.00002926632980788829	0.00001567003337573347	0.00002232041381442791	0.00002239786635715427	0.00000863188346464072	0.000137256374426766	0.00001632369419191301	0.00001868272963457083	0.00002493945563257605	0.0000294462152799088	0.00002056624868324209	0.00043065088816825707	0.00005370293283608256	0.00044130382832813193	0.00001020300308109612	0.00006762188438929865	0.00003503637097368417	0.00006190272551359182	0.00004202672573046929	0.00007508813463369445	0.00004401731752579624	0.00002411249631620588	0.00002308793290959165	0.0000545985280736335	0.0000234132202522633	0.00034130896267891967	0.0000178279332945704	0.00011817222519964449	0.000037379684141669	0.00027495303638276381	0.00002195209028020996	0.00000753138423764559	0.00004597111242037044	0.00025610121119866571	0.00006352356954588013	0.00086333777301651098	0.00010183078743778694	0.00002944891398462376	0.00001306695353261246	0.00001683490136930099	0.00002012292903471914	0.00002186197092238403	0.00002079320177074608	0.00003168374137584776	0.0000144753344309126	0.00002813322887665873	0.00036359720905408108	0.00002605682324434659	0.00000893289516867318	0.00008579409165834994	0.00001425116921549172	0.00002017067718076547	0.00018034841384695189	0.00002066910890917282	0.00001215655651417009	0.00002691434372408516	0.00003400161926340989	0.00000665531177388304	0.0000370363219828854	0.00003260616047632532	0.00000762826019150449
2913616	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	sp. E13-17	0.00003288021846161491	0	0.00001556845965943192	0.00001952423306537337	0.00000086604122165089	0.00000652920877820311	0.00000644941679244299	0.00000252743371331193	0.00000582595551387487	0.00001603218357741612	0.00000738049710757569	0.00000912927026222089	0.00000754959375321448	0.00010921711490168031	0.00006259057508703715	0.00001046941328481455	0.00002935588374855982	0.00000525525426890873	0.00000291117592530828	0.00001286553833017315	0.00015588111473678666	0.00000724461647925203	0.00000732093881922868	0.0000067367626823768	0.00001680191792639255	0.00000534795120783478	0.00000646380335412632	0.00023060290034754657	0.00006039698872829322	0.00016865929873124697	0.0000505214736919754	0.00013740325223674492	0.00015383978698565442	0.00004782123057689483	0.00000332160966170493	0.0000554416169824801	0.00000524947891201976	0.00002801102024368852	0.00005567716733759795	0.00003188333592276942	0.00034514317301947479	0.00006511417471207377	0.00000617833653672728	0.00000126695972651769	0.00002663036060837059	0.00000320683617301182	0.00000535455232749165	0.00005685808730002896	0.00014852758722510673	0.0000157072762087123	0.00054984488490541117	0.00014495760534053277	0.0000033377638719524	0.0000428119169090981	0.00000657519730373873	0.00005469200007993901	0.00000946608932213221	0.00040814113540518386	0.0000070483949968342	0.0007153904795605435	0.0000339290458827976	0.00005144166079519755	0.00001261912640905537	0.00000164111077306255	0.00009079534648195992	0.00004348326656486365	0.00000636148575422635	0.00001666078719878742	0.00004658391230705555	0.00001517369899033178	0.00001363568332208794	0.00178516389680910786	0.00026401093448416563	0.00000913748012325041	0.00000456985985563631	0.00000503406318213976	0.00048107325862866053	0.0001935706470899988
823	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	0.01271858650706459391	0.00084004750176733202	0.0015246082464463889	0.01311689830308488194	0.00347363161306090502	0.00714038736400551041	0.00229314854078390253	0.00585606391374374202	0.00440344230120669113	0.01376765427800192079	0.00804301848245065829	0.00194756400979656671	0.01897433106667266445	0.01455606637872557119	0.01136296849649608837	0.01648335001953981499	0.00350504665100968577	0.00014895927617389581	0.00072844090931047253	0.00104409456032519246	0.00553890195514792141	0.0087949644058119697	0.00012557880330406993	0.00057975025006992633	0.00840334132469330169	0.00114107275771128231	0.01207216477344695733	0.00375502865883732074	0.00128034829925472837	0.00159306116580006595	0.00875101609136313269	0.01505701855517297023	0.01671166677666493031	0.00035075408712930615	0.00231848354387003894	0.01746203028884438929	0.00565348292632716649	0.00506341736378767508	0.01805726173952002661	0.00939551567534662943	0.00447888306535423018	0.02424769038423144757	0.00862094188652240412	0.01278516209166001213	0.00311038913244572873	0.01824324002692740213	0.0085874761924023546	0.00768475303007310276	0.01779278663570350513	0.01607728900467651073	0.0221260959572602417	0.00540159575558775158	0.00056440215390932168	0.00569764458359834237	0.01000701194980343003	0.00413261621577005068	0.01224965807295021886	0.02987298955392680977	0.02639922587119356706	0.0097093818404696379	0.00099074061369161743	0.02079039946783578161	0.00486133287370021146	0.04642009463556445725	0.00596274658286669295	0.01279699984655353201	0.00697505392075560213	0.0051082524321306999	0.00071231036818606764	0.00577815743458528347	0.00108519558770846084	0.01114178607148568617	0.01674666798859908434	0.0220604981273626391	0.00941683093529635182	0.0633592447444795287	0.0111069746090305746	0.01802614598941668089
544645	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	virosa	0.00204840688098247665	0	0.0000026104689933997	0.00185924668207088084	0.00001406570397922648	0.00003192057624899299	0.00127850800918539141	0.00018666903282603826	0.0000307632230405542	0.00004430470648364787	0.00031582533308052322	0.00041794044891037247	0.00082211930308441798	0.00065169868131433062	0.00123876172932877392	0.00338541912767366133	0.00086080013283537399	0.00004077352450015397	0.00002440356115165832	0.0000569882905900287	0.00155740500329163258	0.00005877901597350587	0.00001769601162439326	0.00020981129161748506	0.00451758433559699447	0.00041904639464162825	0.00008507409869117775	0.00041815480998129163	0.00012717298525485561	0.00029857509319322878	0.00309689167504170011	0.00514505402890662582	0.00107200973322355139	0.00030059059219762464	0.00013866210515044568	0.01510709810606981202	0.00003895936800391138	0.00004314341049027886	0.00519562194158360198	0.00147797489317491202	0.00035201134872378195	0.00099167903993167762	0.00020194334280045724	0.00000701352705750866	0.00009967891922160936	0.00001237638335521749	0.00008360843152324305	0.00003625355107662397	0.00217450615572983537	0.00002238143020215782	0.00955803940613882304	0.00013516543454097023	0.0000363038974565782	0.00059866976345341249	0.00004172261561826939	0.00050316640073543885	0.00005750507555271334	0.0057716036857985804	0.00114154132868218914	0.00201969809314415331	0.00023850123429378312	0.0003404296892221139	0.00001098606299141291	0.0000328678018716139	0.00186606054960066197	0.00017994985102182538	0.00037183170786865354	0.00062395336521739854	0.00000699542925553764	0.00002661826856778541	0.00010210593697112884	0.00040041129934561485	0.0001600464579127576	0.00001863900327929964	0.0001753774391422968	0.00096280607311595066	0.00121838100805387304	0.00058448353459888156
2944914	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allocoprobacillus	halotolerans	0.0000263392938277289	0	0.0001025631251503182	0.0000186247426531475	0.00001245307549753172	0.00003420858958152571	0.00002452809693503909	0.00002369469106229935	0.00004214289315644063	0.00008022744147038938	0.00002232881358434067	0.00027322309295992026	0.00003405181349106112	0.00004042756907407965	0.00001213145509408983	0.00001385112642548474	0.00008462750861889512	0.0001034741443981685	0.00029298649559398915	0.00110803369544930797	0.00047402121198470657	0.00003812415196882986	0.00002533134658923299	0.0000680153924663042	0.00009842914606132951	0.00006571096484082141	0.00004080683935685809	0.00004596710060172393	0.00007885539427222104	0.00001963130057979819	0.00002100498709163904	0.00001774985246752673	0.00002231522184846855	0.00005006590058356541	0.00005429321974314053	0.00011578387689466156	0.00015388178379352048	0.00038139142834263574	0.0000152469781324499	0.00006665989652092626	0.00005265601373302139	0.00004243902445024959	0.00001160644649399481	0.00005325755707540446	0.0000241645864779659	0.00003076558453483213	0.00003264341539410569	0.00007046403632518878	0.0000334929347106835	0.00002157592885812129	0.00002792827863502691	0.00008227097346982894	0.00005363283591507083	0.00002730203656346826	0.000095918181273328	0.00000685867244245722	0.00000773725264952723	0.00008637483160417651	0.00004748706798714564	0.00004844294319349445	0.000028315784615423	0.00008821938345354226	0.00018995496753395697	0.00003865727598769568	0.00002478857078555096	0.00001070470908642654	0.00003014541897948702	0.0000599650646700159	0.00106989287080433448	0.00006275224667188059	0.00004785963158108335	0.00003284535455691919	0.00012555854304770894	0.00011110593361020019	0.00000670971486740252	0.00003269375099609451	0.00004743401999688161	0.00001480279486975965
1796652	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	Turicimonas	muris	0.00007932517324451021	0	0.00000169837741739257	0.00009545180609738095	0.00003655291225174779	0.00002611683511281245	0.00005951745260427704	0.00000830442505802491	0.00000457364731930363	0.00002082188157564832	0.00015588958611483476	0.00001379625147250421	0.00004301695607300331	0.00015131610802016635	0.00000275495195363793	0.00021675391486569595	0.00007010246197247228	0.00001463316490394414	0.00000539106652834867	0.00000397191116233533	0.00012494594505964085	0.00000482974431950136	0.00000278465157541214	0.0000199511817901159	0.00009316287327843035	0.00000847200191340163	0.00001260115199339778	0.00018379166267300302	0.00000576825173247744	0.00000415277512264962	0.00002125386134627931	0.00001960494393681693	0.00009825459801765094	0.00001337042569190733	0.00000531457545872788	0.00004113569974325086	0.00003484212964154293	0.00000450752049898436	0.00000244122964480237	0.00000850608054563903	0.00001276509423830821	0.00044768045308968605	0.0000107679579640104	0.0000059728101392977	0.00013395317963423446	0.00004715051310631438	0.00005786787274409646	0.000016214118167363	0.00033257578953257077	0.00009539437345804028	0.00000656811295962095	0.00001514857192069078	0.00000237758522385651	0.00000406626076477187	0.00006240459986457485	0.0000054692000079939	0.00000144542082463695	0.00006484797728796533	0.00016683192564540599	0.00009084915038903037	0.00000972965286344931	0.00035995017278692766	0.00015974329430757146	0.00003004144442911728	0.00002957334142555266	0.00121240058601268822	0.00001306683560327574	0.00010030895433319537	0.0000027605281367144	0.00025956026620326016	0.00002759474253323725	0.00000600277169488523	0.00000331734934273608	0	0.00037975172713047638	0.00001114685418902376	0.00008813498133391878	0.00062492182096722884
3079302	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Agathobaculum	sp. NTUH-O15-33	0.00029289294736434539	0	0.00050901000227928544	0.00082070563435503098	0.00048220577951713366	0.00114897332935405029	0.00037101920539833451	0.00039229381850191603	0.00024686805887765088	0.0002940342382248102	0.00029945336741549493	0.00057743657869338853	0.00057683614770654356	0.00041665467506968139	0.00078603129161427426	0.00102280608812132948	0.00102822040733887925	0.00074031129317446214	0.00040325177632048064	0.00044567433618247445	0.00056130258357379656	0.00028105001518800447	0.00035926496696325299	0.0004498732387414121	0.0004873810073125959	0.00045865300358678088	0.00017563263659191723	0.0010531761079433375	0.00042291464466822851	0.00071125712100653452	0.00023085575860431717	0.00030018752866696035	0.00036833640426850976	0.00073410468652939374	0.00075497167965405982	0.00041259453352586754	0.00037137490028563342	0.000161718796677847	0.00021011706381404271	0.00111765269210216205	0.00103168324140152966	0.00015487168632714272	0.00031377123411522093	0.00035465822630163145	0.00053587436289019802	0.00051409592398595709	0.00050313438074828124	0.00036953409796448481	0.00055938632253551288	0.00029901360606841696	0.00043895968376357511	0.00057957934005957825	0.00024694880373171143	0.00019459962231408229	0.00018438447226908544	0.00019890150083125928	0.00021947723266644263	0.00030933153702207794	0.00057498178169089801	0.00053369217878248274	0.00043041240006835705	0.00017686312524545003	0.00064550543090085568	0.00007161625068003528	0.00036185548563000784	0.00059802411003171145	0.00047607983928250696	0.00048495283069528358	0.00065076313859250331	0.0005223995944764649	0.00023304622405023018	0.00067948355323612817	0.00044277225000971732	0.0002870843356651503	0.00010802640936518064	0.0001244962548506103	0.0002569910142414782	0.00014161907582294962
820	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	0.02904965106142525302	0.00149054836071342892	0.00282150811322755138	0.0623241562383099329	0.01183660346516829907	0.02954645548787252635	0.02259433833630336563	0.00031642567435767756	0.00813123710735101646	0.04060938795442841504	0.06665439331208573848	0.10714168893546772987	0.03496594346801284309	0.07506919042643825368	0.00925243363755736022	0.04531995916743519759	0.02063259941840184242	0.00070388694462099127	0.00055707687459602938	0.00217306713527159415	0.01895532434194591512	0.07565979445430259798	0.00087168577057417356	0.02377241609200137634	0.05380588518522233521	0.00849434681844822917	0.05521446116037675295	0.0206782119549915322	0.01014689769170852573	0.00435479819424124288	0.01816722329052878823	0.09274420181675009645	0.0511552116997761458	0.00073000572390851705	0.02257710165641426542	0.12872944495862695402	0.00999078767916419981	0.18272816574318456739	0.14054964242624135018	0.01047648227856488	0.03026367967161517486	0.04039838393835049057	0.07776857548874724357	0.0937794087370447671	0.03592219890832781815	0.01385593739454081194	0.11632810090350650944	0.05691755355647118431	0.04970804118291251988	0.04590931896012077906	0.04559114865643178194	0.02045852300084672823	0.00346679359313938626	0.03930290813741846995	0.01749038347507067895	0.0148454191222389259	0.02898150943993003936	0.0844201664908306032	0.0359788309221450997	0.05272239279520775368	0.01220828193041302405	0.05948103521367927721	0.04154891908274687545	0.01628036590570487371	0.04816915075048262829	0.04447208638212984261	0.02656481947077711167	0.0217004687877363385	0.00610453153868889629	0.06152825638510539541	0.0118277156743365492	0.01127928352125154819	0.03580959691639234305	0.0630805030201010003	0.09083267434563914444	0.0705321762658967788	0.06192015787736467741	0.05453420524630901017
2913621	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	sp. E9-3	0.00004903498534262197	0	0.00001934263169808209	0.00002333383951715355	0.00000522611082030708	0.00000820336487517827	0.00000827759793045833	0.00000591238957935469	0.00001148856648063175	0.00001729613166028295	0.00000944104198532525	0.00001752164875439704	0.00001549239551440887	0.00011491040305293958	0.00006810047899431301	0.00003854226483613144	0.00003982920685676997	0.0000086530479772549	0.00000535512608482635	0.00001459245622684068	0.00024989189011928169	0.00000878602424079502	0.00001230636341391816	0.0000132144191077391	0.00001993660410668967	0.00000762480172206147	0.00001704093611542394	0.00017911053890554867	0.00006127919193443683	0.00015780545466068547	0.00002090543738978293	0.00022412877842606198	0.00017392348664927612	0.00004567415491834037	0.00000833422060573236	0.00005489710110140217	0.00001008723398780268	0.00001366054681835056	0.00007186637445576104	0.00003020526561104471	0.0005487603012229238	0.00006339201140104915	0.00000622246751198961	0.00000515833602939347	0.00001978783739649759	0.0000041588656618747	0.00001109618072685016	0.00006955117712541768	0.00019179683801350325	0.0000166853849836138	0.00044370638724699861	0.00018186655681580701	0.0000046180020694136	0.00005785708173875402	0.00001048046600535325	0.00005073052547955424	0.00001159170818189244	0.00042231409538977011	0.00001720286236515465	0.00074378549703242255	0.00003698515479503488	0.00007331969068426414	0.00002516402266276335	0	0.00009811662203955288	0.00012491288120161171	0.00001524464153715503	0.00001473309281215086	0.00003896109029317374	0.00001549517566385576	0.00002452267158715419	0.00160013506613846312	0.00038606435369804024	0.00001266869754139897	0.00000315537942412984	0.00001244685951627963	0.00076045736683995845	0.00036022969967539628
1528104	Bacteria	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	sp. DSM 44513	0.00000513616229640714	0.00136762503762403553	0.00000179273171835883	0.00000359796164890349	0.00000388225375222812	0.00000446441625860042	0.00000258992327885506	0.00000645398251792154	0.00000234127184202448	0.0000089141601633766	0.00000093661130806798	0.00000483073493695993	0.00000574083691650684	0.00000689462418317638	0.00000802319340884028	0.0000115812093858568	0.00000550422820285497	0.00001268509651115901	0.00001020708596034015	0.00000401508410975202	0.00001330814929292798	0.00000256901293590498	0.00000687180146835576	0.00000459913606200724	0.00000507819161208133	0.00000524205118391726	0.00000600676675332951	0.00001711296065807084	0.00000821127599564436	0.00000580444704643072	0.0000032851401612516	0	0.00000473353190725091	0.00001873811483829349	0.00001105190123803639	0.00000366310683634244	0	0.00000556540796303171	0.00000372608735259309	0.0000305524525720912	0.00000742317980162489	0	0.00000330982314467533	0.00000746601267412212	0.00000240412977714457	0.00000120256356487943	0.00000270953250306806	0.00000391225371330474	0.00000260701762072347	0.00000230143241153294	0.00000336684781963763	0.00000560748242368112	0	0.00000284638253534031	0	0.00000159641513746849	0.00000640519816407748	0.00000381065433547838	0.00000292687588851589	0.00001237158241556935	0.00000686065266012451	0.00000174458427994712	0.00000564149180640122	0	0.00000657185365012281	0	0	0.00000598962184419217	0.00000178806936128092	0.00000205745071055346	0	0.00000411510763988988	0.00000275402586944127	0	0	0.00000500640349432581	0.00000378261722463171	0
