Depth	Taxa_id	Taxonomic_Tree	kraken_mean
Genus	2842531	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Solibaculum	0.0003096740885864142
Genus	1981050	Bacteria|Actinomycetota|Coriobacteriia|Eggerthellales|Eggerthellaceae|Phoenicibacter	1.8497834682707892e-05
Genus	1266	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Sarcina	1.9143948950733737e-05
Genus	33882	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae|Microbacterium	5.944399622274343e-06
Genus	1883	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae|Streptomyces	5.635767689784821e-06
Genus	1918385	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acutalibacter	0.00041337300830545526
Genus	475	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Moraxella	4.343658024259212e-06
Genus	1505652	Bacteria|Bacillota|Clostridia|Eubacteriales|Peptostreptococcaceae|Terrisporobacter	6.661811651192248e-05
Genus	1912216	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Propionibacteriaceae|Cutibacterium	6.304995735704187e-06
Genus	2782229	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae|Epilithonimonas	3.7598885587781573e-06
Genus	1866885	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae|Mycolicibacterium	6.95696484377833e-06
Genus	1847725	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Lawsonellaceae|Lawsonella	5.5884712025429035e-06
Genus	469	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter	7.5585970308486e-06
Genus	1696	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae|Brevibacterium	2.987287700436552e-06
Genus	196013	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae|Caldimonas	3.6465821973115354e-06
Genus	3046369	Bacteria|Bacillota|Clostridia|Eubacteriales|Aristaeellaceae|Aristaeella	0.00016227388800434136
Genus	1918540	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	0.00012894236681890625
Genus	1269	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Micrococcaceae|Micrococcus	3.080884937910622e-06
Genus	80865	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia	5.053395942034688e-06
Genus	581	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Morganella	1.8776371255048057e-05
Genus	1253	Bacteria|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	3.3121556570909444e-06
Genus	88138	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales|Geodermatophilaceae|Modestobacter	7.31532973224339e-06
Genus	1766253	Bacteria|Bacillota|Clostridia|Eubacteriales|Lachnospiraceae|Agathobacter	0.05778947136469718
Genus	34072	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax	3.439397682280639e-05
Genus	41275	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	5.172744575682595e-06
Genus	1870884	Bacteria|Bacillota|Clostridia|Eubacteriales|Peptostreptococcaceae|Clostridioides	0.0023038588178178245
Genus	89966	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Hymenobacteraceae|Hymenobacter	6.6929732263570475e-06
Genus	135858	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Catenibacterium	0.0002516269528595365
Genus	70774	Bacteria|Pseudomonadota|Hydrogenophilia|Hydrogenophilales|Hydrogenophilaceae|Hydrogenophilus	1.4273890742820222e-06
Genus	374	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae|Bradyrhizobium	2.567058702307142e-06
Genus	1763	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae|Mycobacterium	0.0008562113429644808
Genus	1827	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Nocardiaceae|Rhodococcus	3.3402524736108716e-06
