Sample	Taxa_id	Taxonomic_Tree	MetaPhlAn	Kraken	Meta/Kraken
AMCTRL15	1472416	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_faecihominis	0.00142769997077123	0.00397236059862893	0.3594084513032388
AMCTRL15	39488	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerobutyricum|Anaerobutyricum_hallii	0.0013423999725175452	0.00472592779504026	0.28405003858212974
AMCTRL15	410072	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus|Coprococcus_comes	0.0013091999731972366	0.00290087812571692	0.4513116085749663
AMCTRL15	649756	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerostipes|Anaerostipes_hadrus	0.0012153999751175688	0.00197650060883278	0.6149251711262167
AMCTRL15	291644	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_salyersiae	0.0011112999772487694	0.00420423418195904	0.26432875266975225
AMCTRL15	116085	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus|Coprococcus_catus	0.0010882999777196397	0.00223515247422107	0.4869018960770907
AMCTRL15	1472417	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_paravirosa	0.0010321999788681542	0.00310913414224817	0.33198952880231325
AMCTRL15	214856	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_finegoldii	0.0009106999813555783	0.00554161182606198	0.1643384650423533
AMCTRL15	40520	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_obeum	0.0008347999829094508	0.00530605074159599	0.15732981525509385
AMCTRL15	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_virosa	0.0007647999843425347	0.00204840688098248	0.37336331538571704
AMCTRL15	39496	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium|Eubacterium_ventriosum	0.0007441999847642707	0.00136727274259741	0.5442951955222284
AMCTRL15	1501392	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter|Coprobacter_secundus	0.0006944999857817604	0.00156692458981159	0.4432248943551702
AMCTRL15	187327	Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus_intestini	0.0005426999888895051	0.000649878176376164	0.8350795712447162
